Address,Creation Time,Self-destructed Time,Num. of Trans,Balance,Mark
0xd64ad4eefaacb96a0865687cfeef4c4a2cfbfef2,Jul-21-2017 11:59:34 PM,Jul-23-2017 03:35:32 PM,109,0 Ether,suicide
0x4bf9e798cc40b6ccce801dec622af66a653e9f11,Aug-16-2018 12:38:14 PM,Aug-16-2018 12:47:18 PM,2,0 Ether,suicide
0x5170a14aa36245a8a9698f23444045bdc4522e0a,Nov-06-2018 07:28:05 AM,Nov-06-2018 02:11:55 PM,23,0 Ether,suicide
0xed81af91c38ac12b0464bf1ca4b887469f7adaec,Feb-18-2018 01:19:49 PM,Nov-23-2018 12:04:55 PM,72,0 Ether,suicide
0x90fc38eb9592940e6d5bae221313d749ee26369b,Mar-16-2017 07:41:11 PM,Sep-18-2017 08:03:08 AM,5747,0 Ether,suicide
0xd7c05d4015599b33d8225a69f14cd561f27177eb,Dec-06-2018 09:27:44 AM,Dec-08-2018 09:11:43 AM,2,0 Ether,suicide
0xd70b659ae2c61fc52a31723af84a1922747feab7,Feb-16-2018 06:46:52 PM,Feb-16-2018 08:26:48 PM,5,0 Ether,suicide
0x67b05fa2ababcdb3e1a1635868f58f9652bd3298,Nov-29-2018 10:32:50 PM,Nov-30-2018 09:34:15 AM,5,1.00000000012387 Ether,suicide
0x4b902704026d14117b5e9efa7fdafdff4ba610ef,Jul-20-2016 12:31:35 PM,Oct-12-2016 10:22:56 AM,4,0 Ether,suicide
0xe649e289bc2a29e3c7beebd187ba3ee2b0cdc759,Apr-07-2018 06:36:56 PM,Jun-01-2018 03:30:25 PM,19,0 Ether,suicide
0x49d2374241a0a4b407a71d359a753fc630c5d8d4,Apr-22-2017 08:56:07 AM,Apr-22-2017 09:01:41 AM,3,0 Ether,suicide
0x44bc5727c2c592038a944ca2696b5c958650c877,Mar-05-2018 01:00:04 PM,Aug-01-2018 08:11:42 AM,4,0 Ether,suicide
0xfb486bc995129042f99407282e926529d8e54451,Feb-04-2018 05:33:19 AM,Feb-04-2018 06:23:59 AM,7,0 Ether,suicide
0xb61fb596b0cc9fa829d678eb0b8a0e058c3f1b91,May-05-2016 08:00:18 AM,May-05-2016 03:35:54 PM,6,0 Ether,suicide
0x3ac0d29eaf16eb423e07387274a05a1e16a8472b,Feb-22-2018 08:36:12 PM,Feb-22-2018 10:36:59 PM,5,0 Ether,suicide
0xb856a6aa72c8fe5ced46ff570419f3bcfc1f9082,Sep-06-2018 09:16:52 AM,Jan-02-2019 12:57:46 PM,5,0 Ether,suicide
0x32293366f73b94a9c2c054e2fbeff2658119ad2e,Aug-23-2017 02:52:19 AM,Aug-23-2017 03:00:37 AM,4,0 Ether,suicide
0x76650703bd3fc6501ccd90dd69bba977190e98d6,Jul-11-2018 02:20:29 PM,Jul-11-2018 03:10:38 PM,3,0 Ether,suicide
0x73b958200ca61991556324cdf2f315ce2ae08698,Sep-13-2017 01:33:39 PM,Sep-13-2017 08:45:17 PM,15,0 Ether,suicide
0x97ec9bfb0f6672c358620615a1e4de0348aea05c,Feb-03-2018 11:09:11 PM,Feb-07-2018 03:31:24 PM,2089,208.645 Ether,suicide
0x5064ef946f91e8d94f845cf9a403acb1b9739eb2,Nov-20-2018 11:17:35 PM,Feb-01-2019 12:46:56 PM,3,0 Ether,suicide
0x6fa883afde9bc8d9bec0fc7bff25db3c71864402,Nov-29-2018 11:21:24 AM,Dec-01-2018 10:28:24 AM,27,0 Ether,suicide
0xd9ec750a0aac025f0075413c68502ecf8a9ab64e,Sep-24-2017 12:55:42 AM,Sep-26-2017 03:32:19 AM,11,0 Ether,suicide
0x8d734806913e445ee1be523aa0e84e4664fff481,Apr-20-2016 08:07:04 AM,Apr-20-2016 08:25:11 PM,2,0 Ether,suicide
0x51ae2f91619246ad3a20f4e76f3323a836bde6a5,Aug-06-2018 07:04:12 AM,Aug-12-2018 05:04:33 PM,5,0 Ether,suicide
0x4c60e311d8fba04e313f7e7b3dec61b3028726d1,Jun-10-2018 01:14:55 PM,Jul-17-2018 10:32:09 PM,843,0 Ether,suicide
0x812a935527dac8c340ae875ecb7713fcf85127c6,Dec-27-2018 04:47:37 PM,Dec-27-2018 06:56:30 PM,10,0 Ether,suicide
0x50bb21befa6c04f0c81a44edaea5f11d069791f8,Nov-28-2016 03:12:13 AM,Nov-28-2016 08:47:55 AM,6,0 Ether,suicide
0xe973dbf1e8c665fbc711ac5dbfdefefc1f70e2a0,Jan-14-2018 04:20:33 AM,Jan-14-2018 08:56:35 PM,10,0 Ether,suicide
0x301a0501c08e347b062b3c928fd4d0155f367855,Dec-25-2017 01:52:46 AM,Jan-30-2019 06:49:04 PM,11,0 Ether,suicide
0x1cca91a47db357445b89269f2fb4f647cd209968,Jan-18-2018 09:05:08 AM,Jan-18-2018 09:21:18 AM,4,0 Ether,suicide
0x2f58b31ecad8f1a60375a0c9968556283e6ce41a,Mar-20-2018 07:45:41 PM,Apr-23-2018 07:01:35 PM,7,0 Ether,suicide
0x0adadf6b6be1afad94d908b6bc4695dada64074c,Oct-04-2018 07:41:56 AM,Jan-18-2019 06:14:04 AM,1280,0 Ether,suicide
0x03e4bb77ccf8baa9c986685645470f2ce741addb,Feb-16-2018 6:46:26 AM,Apr-09-2018 2:04:42 PM,2,0 Ether,suicide
0x89cf33f3d75b7169f20bb3eb1a3fb16f147193bb,Sep-11-2018 01:55:14 PM,Feb-22-2019 12:55:59 PM,3920,0 Ether,suicide
0x8135efaa18a489fdd40d93471c7bcd28e7f1c0b8,May-11-2018 03:42:03 AM,Jun-18-2018 05:28:16 AM,8,0 Ether,suicide
0x3c7feb0dc32be219ef51b7fd38b56d62bb864d41,May-08-2018 04:59:02 PM,Jun-23-2018 10:48:42 PM,13,0 Ether,suicide
0x2e0d52f3bde91178db523f71c80f9c70a96bead4,May-15-2018 09:42:25 PM,May-24-2018 08:49:31 AM,9,0 Ether,suicide
0xc16c28d110697b1ad7a0f640eee2e343febea43b,Nov-14-2017 10:29:29 PM,Nov-17-2017 10:19:24 PM,5,0 Ether,suicide
0xd21daa01e682f849c8e21bd945bc040103091640,Jan-26-2018 11:04:58 AM,Oct-01-2018 10:40:20 PM,472,0.005 Ether,suicide
0x52903256dd18d85c2dc4a6c999907c9793ea61e3,Nov-01-2017 05:33:47 PM,Nov-18-2018 12:31:15 PM,5645,0.2160001 Ether,suicide
0x91efffb9c6cd3a66474688d0a48aa6ecfe515aa5,Feb-22-2017 12:23:07 AM,Jul-06-2018 08:57:08 AM,53,0.01 Ether,suicide
0x998a60f88706ad37bc240318755b903aaa36ba95,Oct-13-2017 04:52:44 AM,Oct-14-2017 11:55:10 PM,5,0 Ether,suicide
0x6b922dd2243de553ce56857d70c9d7622c70aef6,Mar-23-2017 04:54:37 PM,Nov-20-2017 04:44:30 PM,12,0.02346 Ether,suicide
