Timestamp,1. Are you a professional smart contract developer?,2. Are you involved in open source software development efforts?,3. Please describe your main role in developing smart contracts?,4. How many years of experience do you have in Ethereum smart contract development/testing/project management(decimals ok)?,5. What is your current country of residence?,6. Will you add Selfdestruct functions in your future smart contracts? ,7. Why do you add Selfdestruct functions,8. Why do you not add Selfdestruct functions
2019/08/26 9:07:02 AM GMT+8,yes,Yes,Research and security,3,Australia,Yes (Go to Question 7),"1. encounter security problems.
2. I do not this contract anymore.
3. I can withdraw my money if there are bugs found in my contracts ",
2019/08/26 1:16:35 PM GMT+8,yes,Yes,Development,2,Australia,Yes (Go to Question 7),For upgrading smart contracts or destroying vulnerable smart contracts.,
2019/08/26 1:28:56 PM GMT+8,no,Yes,Development,1,China,Yes (Go to Question 7),it is convenient to change code including fixing bugs or adding functions.,
2019/08/26 2:40:58 PM GMT+8,no,Yes,Testing,2,HK,Yes (Go to Question 7),withdraw Ethers when bugs are found in your contract.,
2019/08/26 4:34:53 PM GMT+8,yes,Yes,Management,2,Romania,Yes (Go to Question 7),,
2019/08/26 5:46:18 PM GMT+8,no,Yes,Development,1,south korea,Yes (Go to Question 7),for secure of asset,
2019/08/26 6:12:47 PM GMT+8,no,Yes,Development,1.5,Switzerland,No (Go to Question 8),,"I have not found a use for it so far. I have never seen a reason to completely remove a contract from the blockchain. Usually a withdraw function is enough to ""get out""."
2019/08/26 6:15:55 PM GMT+8,yes,Yes,Development,2,Germany,No (Go to Question 8),," If there is an owner of a contract who can selfdestruct the contract I, and probably many other people, wouldn't put their money on it. Only if  there are certain kinds of contracts that are just agreements, i.e. they execute their logic only once a specific event is happened. After they performed their duty they can be selfdestructed."
2019/08/26 6:56:35 PM GMT+8,no,No,Testing,0.5,China,No (Go to Question 8),,I just test my contracts
2019/08/26 7:54:40 PM GMT+8,no,Yes,Development,2,Canada,No (Go to Question 8),,Just experimenting so I hadn't considered it.
2019/08/26 9:21:18 PM GMT+8,yes,Yes,Development,1,Argentina,No (Go to Question 8),,"We work with upgradeable smart contracts, so unless there is a specific use case for the business logic I don't see a reason to add it"
